Program,Runtime(s),cpu-cycles,instructions,cache-references,cache-misses,branch-instructions,branch-misses,page-faults,branch-loads,branch-load-misses,L1-dcache-loads,L1-dcache-load-misses,L1-dcache-stores,L1-dcache-store-misses,L1-dcache-prefetches,L1-dcache-prefetch-misses,L1-icache-loads,L1-icache-load-misses,L1-icache-prefetches,L1-icache-prefetch-misses,LLC-loads,LLC-load-misses,LLC-stores,LLC-store-misses,LLC-prefetch-misses,dTLB-loads,dTLB-load-misses,dTLB-stores,dTLB-store-misses,dTLB-prefetches,dTLB-prefetch-misses,iTLB-loads,iTLB-load-misses
correlation_main_nopt,4.878899,17706745858,14218046794,124426126,407081,1016201531,557357,12175,1019712966,559107,7575418724,1125164822,1042964461,2802280,<not supported>,2912405,<not supported>,653899,<not supported>,<not supported>,122105208,351960,642219,18799,9603,7579301531,756346392,1036059034,520267,<not supported>,<not supported>,0,6891
covariance_main_nopt,4.924672,17581004259,14203338126,117534219,408739,1019954266,565090,12171,1024283143,578058,7544028642,1116620022,1043924403,2893878,<not supported>,2889723,<not supported>,687951,<not supported>,<not supported>,115437847,350063,628364,31540,1781,7735184178,752137858,1014751270,593276,<not supported>,<not supported>,0,6055
2mm_main_nopt,14.007403,50797326037,61474456105,2166361020,1529960,4327133863,2235663,18508,4338894997,2236280,33474678005,2212901816,4346458513,2309589,<not supported>,13180243,<not supported>,2134890,<not supported>,<not supported>,2160810500,684910,2493698,1289626,2732,33330098937,2159909985,4374911990,42806,<not supported>,<not supported>,25,8549
3mm_main_nopt,20.936250,75145915189,90450248609,3245656553,2538317,6486108430,3357148,22602,6497071617,3345318,48543840042,3297806302,6504110235,3225412,<not supported>,16567445,<not supported>,3887916,<not supported>,<not supported>,3244712813,1070078,2881277,1956726,3537,48448322067,3241410036,6531368417,86260,<not supported>,<not supported>,62,16743
atax_main_nopt,0.088342,1159188763,1578933723,2785063,2530593,136033832,65392,39536,127573273,49514,775522570,12596168,127545392,4311459,<not supported>,7125703,<not supported>,151949,<not supported>,<not supported>,370774,262774,4038928,2361485,3221232,800372078,401001,167201236,626195,<not supported>,<not supported>,104,27235
bicg_main_nopt,0.076032,1094123398,1181532258,2978771,2317478,93600832,30802,39542,94442192,30760,784700337,9378304,123813082,4732018,<not supported>,6087526,<not supported>,137205,<not supported>,<not supported>,218217,155551,3862011,2307475,2499585,738923421,401029,160836412,614344,<not supported>,<not supported>,288,27385
cholesky_main_nopt,0.513777,1788458563,5436883450,1908987,730039,360965123,436817,10313,360679400,412856,2197193616,25001039,388943815,385233,<not supported>,24524577,<not supported>,100026,<not supported>,<not supported>,2640656,380389,2684,258,220986,2355998743,704363,394271360,654,<not supported>,<not supported>,0,218
doitgen_main_nopt,1.203725,4426643669,11670165353,1535872,663776,562849246,2157869,16490,568618658,2168039,5823892075,266531043,583281214,3300431,<not supported>,156612922,<not supported>,284641,<not supported>,<not supported>,569224,168302,260192,80576,1616655,5839872772,74103,580142764,30866,<not supported>,<not supported>,0,6081
gemm_main_nopt,7.140849,25709557285,31337789965,1085648689,841801,2171397066,1124435,14409,2179503408,1126655,17320855885,1097612069,2192667786,2850147,<not supported>,4977579,<not supported>,810331,<not supported>,<not supported>,1080902122,338410,2165646,557795,3094060,17394099826,1079239279,2188778709,108148,<not supported>,<not supported>,0,3281
gemver_main_nopt,0.324185,1934261723,1705021935,25818239,4587837,141637815,46683,39576,140745951,36668,1128965745,44262620,196287289,5388467,<not supported>,15980894,<not supported>,160302,<not supported>,<not supported>,16229835,1925643,3859636,2292277,3555258,1014169490,19039009,203332118,536561,<not supported>,<not supported>,427,27797
gesummv_main_nopt,0.076921,1811154928,1392578895,6505906,6015490,115299147,76569,70787,139042815,72076,914930313,13424100,178085059,5577462,<not supported>,6562386,<not supported>,197503,<not supported>,<not supported>,2245979,877993,4606856,2982207,4097366,808796349,837069,170562878,842358,<not supported>,<not supported>,82,83396
