Program,Runtime(s)_mean,Runtime(s)_std,Runtime(s)_max,Runtime(s)_min,Runtime(s)_median,cpu-cycles_mean,cpu-cycles_std,cpu-cycles_max,cpu-cycles_min,cpu-cycles_median,instructions_mean,instructions_std,instructions_max,instructions_min,instructions_median,cache-references_mean,cache-references_std,cache-references_max,cache-references_min,cache-references_median,cache-misses_mean,cache-misses_std,cache-misses_max,cache-misses_min,cache-misses_median,branch-instructions_mean,branch-instructions_std,branch-instructions_max,branch-instructions_min,branch-instructions_median,branch-misses_mean,branch-misses_std,branch-misses_max,branch-misses_min,branch-misses_median,page-faults_mean,page-faults_std,page-faults_max,page-faults_min,page-faults_median,branch-loads_mean,branch-loads_std,branch-loads_max,branch-loads_min,branch-loads_median
2mm_main_O1,15.511801366666667,1.7630034034678452,17.413246,13.544909,15.769366000000002,48783641660.433334,74534441.12785089,48914946765,48613999206,48800431005.0,18521373269.533333,51453512.50824211,18604137173,18395140551,18525575570.0,2169012390.266667,2610939.185936401,2174401072,2162305562,2169970659.5,1835383.0333333334,420074.1170947454,2536807,770716,1794693.0,2179553563.633333,4690850.802997921,2190240408,2173231174,2178386449.0,2222251.5,13726.281083984557,2252432,2206237,2222529.0,18506.1,1.4703975535610458,18508,18503,18506.0,2189043429.8333335,5006549.492790469,2200076802,2177557956,2187776580.0
3mm_main_O1,22.998963600000003,2.6868998656083387,26.098904,20.284485,22.0115175,73083616026.93333,93778564.3695804,73261070927,72866200741,73091023009.5,26078598870.333332,45160022.68114971,26166572672,25951189838,26070127713.5,3250063331.4,6744851.794054662,3257482557,3229956009,3252509569.0,2227155.033333333,468527.39152601454,3237821,1397240,2045912.0,3260722927.1,3748308.6784501197,3268898839,3249452442,3260992025.0,3325489.7,21635.260420402155,3392304,3298008,3323003.5,22604.4,1.1919268665368874,22606,22601,22605.0,3269735660.4,6296187.119675378,3284827681,3256004454,3269690079.0
adi_main_O1,1.6248058666666667,0.1934177987906389,1.80369,1.385648,1.7720954999999998,5186698647.7,24966527.81633099,5255191205,5155284464,5179127678.5,2677699894.1666665,24339929.84614676,2732831057,2642495519,2669572978.0,6051562.166666667,232160.3226010264,6552834,5632333,6010970.5,1831160.8,74496.98238572698,1972625,1671585,1822392.0,220364438.36666667,2575348.7010668125,230678698,216808287,220205747.0,228469.6,4899.103982819996,244790,220315,227848.5,14408.733333333334,1.2298957997172633,14410,14406,14409.0,224382575.0,2609983.5084591946,231466788,219551950,224705748.0
atax_main_O1,0.0396908,0.0029388819525517666,0.041447,0.034129,0.041305999999999995,957710895.4,30471606.683289535,1013989305,916364914,957945019.0,885435373.3333334,141130250.97747236,1016148800,534067445,927672804.5,4149983.7,598935.6721720765,5059654,2726286,4086852.5,3002193.533333333,289574.8110006301,3659201,2552397,2904509.5,103937042.06666666,21482342.039283033,126067029,62436388,114531215.0,46190.7,12729.373837161313,70133,30119,40459.0,39535.46666666667,1.1957780134595446,39538,39533,39536.0,100555101.43333334,21892794.512746885,129951135,67030252,112850379.0
bicg_main_O1,0.04693716666666667,0.005547594166864573,0.053655,0.041496,0.042633500000000005,974525126.6333333,26064839.991624806,1055718711,940225261,967333902.5,771208441.5,19773595.84220059,816123497,737692470,768565099.5,2515955.2333333334,201325.67582859434,3226861,2365283,2424842.5,2169531.8,154156.79193542103,2747809,1949620,2137193.5,78788521.66666667,2793658.004234681,87902868,75397644,77862193.0,37367.76666666667,12190.832495924064,69186,28871,30593.5,39543.23333333333,1.5687318254658253,39545,39540,39544.0,81827494.56666666,4993455.561122801,90101870,68871644,81233164.5
cholesky_main_O1,0.1913894,0.014197896513944937,0.199791,0.155892,0.197463,694110951.0333333,21716161.448138393,733447588,661777100,693073649.5,1263727801.1666667,42750038.36709504,1360256194,1201947035,1260103677.0,2996601.533333333,150253.52271496813,3280537,2482729,3020543.0,708635.5333333333,165045.8443801419,1199849,352151,675451.5,180181602.26666668,5410476.9501094725,189932513,165656274,179336843.0,340973.73333333334,14738.567223054815,376474,305630,343496.0,10312.0,1.4142135623729826,10314,10309,10312.0,175051255.4,7530869.378645972,187725928,146610821,175677136.5
correlation_main_O1,6.137646,0.7151396083752002,6.793676,5.266529,6.773294,19114894343.866665,51167416.56774912,19236159484,19016940970,19112216129.0,3582056442.2,14801370.245648354,3611203050,3555237776,3580633905.5,124534883.73333333,9729372.036090875,144339092,106141877,124465535.0,521630.76666666666,109600.50452585967,677428,142086,542937.5,517056479.76666665,1447772.050818749,520258873,514150432,516841940.0,555522.6,6375.229735414269,568352,547281,552982.0,12173.033333333333,1.1591713250934153,12175,12171,12173.0,523362209.7,2196664.0330103072,529235208,519904078,523341810.0
covariance_main_O1,6.318963666666666,0.6593724637000064,6.811491,5.275179,6.759571,19112111092.233334,52804803.5751154,19202667464,18980340110,19109392155.5,3578387933.5666666,11846448.141427955,3604335957,3560357850,3576753603.5,125771414.53333333,9217179.53621932,138659109,108573333,126525865.5,467094.73333333334,69106.2750621166,717850,358238,447358.5,517810665.7,2173881.7093813503,522854473,514527414,517057624.5,556285.3333333334,6180.800005876551,567453,547030,555512.5,12171.133333333333,1.2793676598995787,12173,12168,12171.0,522361455.23333335,2405297.0199721474,527964080,517348614,522054435.0
doitgen_main_O1,0.44157883333333336,0.03922513026556539,0.490589,0.355402,0.457984,1478626175.1,36266283.1243237,1585207667,1426279022,1471116433.0,2438010438.4333334,46014063.69222291,2520811330,2334771268,2441698672.5,5321284.933333334,11346791.223741842,44230575,888948,1332926.0,656918.5666666667,113887.75466665697,947688,484143,636849.0,282571975.06666666,5374708.088387788,291122626,272020635,284279203.0,2085651.0,39664.29908620599,2157704,2005966,2095081.0,16488.0,1.4142135623727963,16490,16485,16488.0,285050656.0,4392284.187576711,292484081,274660847,286577552.5
durbin_main_O1,0.4202024,0.05027268618972965,0.471848,0.361603,0.460617,2867216284.633333,45881440.88055883,2944687783,2810738137,2872505389.5,875780448.5333333,61220166.19174523,1012279272,791304912,879333238.0,43461564.266666666,2186782.5906459796,46309495,39632104,43677650.5,7013887.333333333,750331.3746713257,7999692,6217932,6454293.5,116922327.2,32150360.72672749,165308546,85685205,93660737.5,138120.93333333332,53805.3886103673,215099,80960,107938.0,70794.56666666667,1.3308885632604652,70796,70791,70794.5,130735088.3,37952387.65788027,182506726,89077152,125642347.5
dynprog_main_O1,0.2911239333333333,0.02319645280839193,0.304659,0.235022,0.3009765,956490864.5,22528610.612114456,1020390555,917392631,956933019.5,1858087483.8333333,41324651.84423017,1983725907,1795972213,1852920740.5,3929450.4,674938.3153612863,5405834,2683660,3907272.0,941708.2,265127.4887284905,1499488,236669,919673.0,220954617.36666667,8029971.686536682,231952530,200854008,223802345.5,7878901.166666667,339574.8400788219,8410791,6956040,7889069.5,8365.666666666666,1.3729739514151977,8367,8362,8366.0,219445898.86666667,9366680.324054182,236841513,201212920,222493397.5
fdtd-2d_main_O1,0.2399689,0.01701074564918833,0.255209,0.207943,0.2490095,974931710.5,33383290.61755551,1051422117,936841072,963504922.5,1649400399.8666666,42194051.66512263,1775379895,1591982108,1642917150.5,14246994.066666666,547556.967835275,15667647,13369081,14184448.5,1849871.1333333333,208642.27481153797,2210325,1512128,1816057.0,165214428.2,5256192.716184159,173859728,151856714,166061497.0,171066.96666666667,10500.17243695298,196803,154671,167601.0,14123.566666666668,1.356550730735022,14125,14120,14124.0,162201690.8,6279638.272297959,170432837,140440647,164581772.5
fdtd-apml_main_O1,0.9073616333333334,0.09647228106791673,0.981189,0.758799,0.967832,4980297300.733334,66719412.83429987,5104366993,4859487908,4989200755.0,3088779647.733333,103891806.44286327,3406635842,2976562541,3044955016.5,11384331.0,776194.3298975036,12970203,10615823,11041781.5,9697377.566666666,687993.0011102853,11036711,8827124,9560892.0,186488196.16666666,25602528.361685656,236703358,162007326,172767835.0,407025.73333333334,20669.78524976166,454682,378394,406893.5,174293.46666666667,1.2242755305506887,174295,174291,174294.0,207818351.76666668,37340242.51948517,287785947,164337972,212330084.5
floyd-warshall_main_O1,1.1238450666666668,0.0985851353151115,1.182869,0.914207,1.1714335,3438009429.3333335,23743591.187913038,3479902034,3392870911,3441883716.5,8868995580.9,53481471.58863732,8970378757,8759451537,8868724943.5,18879923.766666666,1705603.509861047,21805710,15367499,19107743.5,458157.36666666664,105395.28889114126,589893,75427,474621.0,1059956364.7666667,6760855.511733485,1070262120,1044900269,1062085027.5,1036426.1333333333,7361.132487521915,1047573,1021365,1035994.0,10310.7,1.2635472781570312,10312,10308,10311.0,1057469738.0666667,7681196.076686738,1073937991,1042813129,1058411039.0
gemm_main_O1,7.846331500000001,0.8659058951597435,8.727242,6.763599,7.8827525000000005,24493145675.333332,42066863.272595994,24590682560,24389817856,24502259740.0,9784214544.466667,19123097.55431084,9825570527,9730923162,9782834496.0,1086906419.4333334,1524406.3455153082,1089810857,1082601667,1087192312.5,756021.9333333333,113772.49939240767,901464,414744,746556.0,1097263444.5333333,3089605.022339104,1103048613,1091868878,1097390451.5,1118222.1666666667,11350.064475233368,1140374,1106177,1111184.5,14408.466666666667,1.224275530553788,14410,14405,14409.0,1105722052.9333334,3416357.8543230994,1110678984,1099201768,1105150807.0
gemver_main_O1,0.25434196666666664,0.0253970950218834,0.28234,0.220066,0.2724215,1640223646.8333333,51131753.657420985,1728572587,1558883277,1636617661.0,1079868358.9333334,216786196.54917127,1575681695,634931322,1122125230.0,25480953.633333333,1619328.3375566218,29368607,21646635,25086412.5,5043845.066666666,567630.5582060446,6472436,4556405,4792565.5,114524418.9,29030273.57984332,179960736,76590494,115147809.0,48295.03333333333,13792.863635761525,76648,31666,40607.0,39574.63333333333,1.2172137016160767,39576,39571,39575.0,101749715.23333333,25756729.240538787,173599308,79744549,94794682.0
gesummv_main_O1,0.05506673333333333,0.004898125291855308,0.058849,0.044814,0.057294,1735399692.4333334,42151529.812084354,1796087328,1654602196,1745637034.0,1008885019.3666667,43208007.17009417,1088947018,889295496,1015464655.5,6825645.9,590383.8531667546,7989889,5702072,6615666.5,4914598.166666667,584619.7873538501,6171506,4265732,4689853.5,112934175.83333333,11839904.998063574,130204180,96372852,113605724.5,124966.63333333333,38784.93785895484,193214,76244,124819.0,70786.06666666667,1.3373502709181968,70788,70783,70786.0,111764828.66666667,14132629.962778134,137569486,89079579,106511227.5
gramschmidt_main_O1,2.3333414,0.2237207526089243,2.463858,1.911846,2.4532725,7011461824.2,24094742.050928105,7072289882,6976582970,7007181949.0,1058161671.8666667,5902366.423425518,1076307299,1049851083,1056361903.0,270687738.53333336,815797.7705625482,272967795,268905681,270773583.0,523414.0,100510.95863292892,793252,313043,520948.5,147682535.73333332,991874.3979573736,149785827,146063285,147580113.5,292575.5,5766.467823128157,304504,284592,290521.5,9800.133333333333,1.525266134682423,9803,9797,9800.0,153768161.93333334,1622924.8358675109,156910484,150513259,153405841.5
