Program,Runtime(s),cpu-cycles,instructions,cache-references,cache-misses,branch-instructions,branch-misses,page-faults,branch-loads,branch-load-misses,L1-dcache-loads,L1-dcache-load-misses,L1-dcache-stores,L1-dcache-store-misses,L1-dcache-prefetches,L1-dcache-prefetch-misses,L1-icache-loads,L1-icache-load-misses,L1-icache-prefetches,L1-icache-prefetch-misses,LLC-loads,LLC-load-misses,LLC-stores,LLC-store-misses,LLC-prefetch-misses,dTLB-loads,dTLB-load-misses,dTLB-stores,dTLB-store-misses,dTLB-prefetches,dTLB-prefetch-misses,iTLB-loads,iTLB-load-misses
correlation_main_O3,5.304491,18980086545,3056392439,112172829,814285,266972143,563242,12172,277331082,577717,1034200582,1123854348,513841934,1541027,<not supported>,4300093,<not supported>,726801,<not supported>,<not supported>,110626105,741692,642374,19438,1392,1025139700,752596996,513306593,561933,<not supported>,<not supported>,12,3270
covariance_main_O3,5.321885,19065518087,3065503002,140001107,836190,267824710,562392,12171,273208762,562314,1025010892,1123956948,512839487,1571954,<not supported>,3282844,<not supported>,673049,<not supported>,<not supported>,138974601,787375,1029862,60125,819,1006886172,752153129,507938026,524132,<not supported>,<not supported>,0,3243
2mm_main_O3,13.585252,48764449988,14084374374,2168389365,1645147,1102638605,2236341,18508,1110921388,2245476,4325979325,2178629576,2196036269,5776440,<not supported>,2121456,<not supported>,1862535,<not supported>,<not supported>,2163492945,1948863,2493127,79970,9978,4345735800,2163601723,2166535976,244858,<not supported>,<not supported>,288,9535
3mm_main_O3,20.384036,73214254271,19558903496,3251268472,2012095,1656058440,3355530,22605,1658351388,3364443,6482656325,3266034785,3276991055,7961416,<not supported>,3308748,<not supported>,3659945,<not supported>,<not supported>,3243702542,2054897,4150671,267814,3525,6482371980,3242872549,3250230863,423807,<not supported>,<not supported>,25,16577
atax_main_O3,0.027913,549368404,439994129,3145688,2566037,46058468,43828,39537,42749421,33496,52310070,4730500,70095895,4202094,<not supported>,113225,<not supported>,108103,<not supported>,<not supported>,2456524,1997055,1724149,1077650,3345076,184769893,412134,111337638,398017,<not supported>,<not supported>,204,27880
bicg_main_O3,0.052561,619040436,506790398,2462488,2203250,53052681,42480,39544,61120683,65429,99386771,5210736,77343741,4610355,<not supported>,122804,<not supported>,113291,<not supported>,<not supported>,2715706,1901361,1898247,1179086,3901181,232195850,408529,102328613,460740,<not supported>,<not supported>,0,29406
cholesky_main_O3,0.196149,649820140,882768872,2766052,983228,88284673,300308,10313,90241859,276536,353010986,24256232,12173375,1759392,<not supported>,23190221,<not supported>,68359,<not supported>,<not supported>,8499497,65762,1921,381,142377,439694806,757041,654819,1326,<not supported>,<not supported>,0,81
doitgen_main_O3,0.384367,1393408332,1785317507,1509326,1163669,151435940,1870522,16488,149701773,1915045,552384590,261240983,282825057,2155768,<not supported>,7971386,<not supported>,108964,<not supported>,<not supported>,2544153,346196,319324,82363,282530,610292605,72025,307628196,39801,<not supported>,<not supported>,0,4768
gemm_main_O3,6.772106,24392251968,7603540599,1084470186,1260919,559228315,1140218,14409,566008484,1134947,2171531149,1087129928,1113104733,3944908,<not supported>,3950510,<not supported>,795225,<not supported>,<not supported>,1080379383,2298021,1081756,10601,6342,2169532700,1085320744,1086151379,212456,<not supported>,<not supported>,37,3494
gemver_main_O3,0.245940,1214693989,327218709,30186148,4984629,55364490,43398,39574,73554911,47564,205636009,38642079,115186128,5061376,<not supported>,3355251,<not supported>,141461,<not supported>,<not supported>,22910159,5272497,1873575,1186984,3074915,174486295,17084806,68551129,483902,<not supported>,<not supported>,0,29027
