Program,Runtime(s),cpu-cycles,instructions,cache-references,cache-misses,branch-instructions,branch-misses,page-faults,branch-loads,branch-load-misses,L1-dcache-loads,L1-dcache-load-misses,L1-dcache-stores,L1-dcache-store-misses,L1-dcache-prefetches,L1-dcache-prefetch-misses,L1-icache-loads,L1-icache-load-misses,L1-icache-prefetches,L1-icache-prefetch-misses,LLC-loads,LLC-load-misses,LLC-stores,LLC-store-misses,LLC-prefetch-misses,dTLB-loads,dTLB-load-misses,dTLB-stores,dTLB-store-misses,dTLB-prefetches,dTLB-prefetch-misses,iTLB-loads,iTLB-load-misses
correlation_main_O3_mllvm_polly,0.943996,3508341222,3929915303,7186150,380789,311382509,572169,12173,316391306,570731,1565552271,14417395,1031225387,6641391,<not supported>,3802243,<not supported>,145012,<not supported>,<not supported>,6600347,481345,122392,15390,5137,1533657384,990522,1040186396,92670,<not supported>,<not supported>,0,670
covariance_main_O3_mllvm_polly,0.932222,3472562724,3889422011,7075531,360856,308993383,560104,12170,313908978,558451,1550396696,14443391,1021695839,6478450,<not supported>,3687015,<not supported>,161840,<not supported>,<not supported>,6589644,584354,1040434,693111,4399,1602140754,820325,1065322929,24256,<not supported>,<not supported>,13,908
2mm_main_O3_mllvm_polly,17.412854,48692034878,14198759973,2163941869,1679157,1102286843,2207715,18506,1113233164,2233943,4388839891,2180696317,2190446429,4501502,<not supported>,1990642,<not supported>,1634230,<not supported>,<not supported>,2166666834,463269,4673706,2083704,1277,4340881310,2156396932,2213771015,252870,<not supported>,<not supported>,6364,43581
3mm_main_O3_mllvm_polly,26.140691,73234217514,19669465138,3256996086,1965724,1648653787,3300116,22604,1654818444,3305049,6510237464,3259109387,3286679010,7355037,<not supported>,3083520,<not supported>,3071151,<not supported>,<not supported>,3246433623,446106,6487419,2480591,964,6499297520,3237929415,3302012250,450671,<not supported>,<not supported>,1478,33186
atax_main_O3_mllvm_polly,0.066945,1042239088,636761955,8763024,6101764,70225288,954510,39534,75884243,952998,264841790,9212712,79726803,4770315,<not supported>,1719522,<not supported>,254268,<not supported>,<not supported>,1078926,375569,2948791,1789940,2949630,368095255,509210,56997916,390738,<not supported>,<not supported>,0,30119
bicg_main_O3_mllvm_polly,0.112391,1174152369,634414098,6376643,6155386,76209192,632581,39543,83333964,1066519,248224304,11613479,93296040,3798116,<not supported>,4965817,<not supported>,97226,<not supported>,<not supported>,6682064,4278606,1714665,1836975,13744,263210849,485980,67500430,459870,<not supported>,<not supported>,15,35403
cholesky_main_O3_mllvm_polly,0.202187,687191015,1143707662,6406855,690241,98960449,351694,10310,97184659,321302,374094638,22909922,200710303,417808,<not supported>,22476878,<not supported>,41201,<not supported>,<not supported>,3993133,410108,206162,339,163561,459211964,763594,230388663,199548,<not supported>,<not supported>,0,97
doitgen_main_O3_mllvm_polly,0.261933,914287928,2027028324,1793519,447764,183716008,8871986,16490,188711883,8839976,630260565,35278293,66028575,4500676,<not supported>,3161497,<not supported>,100329,<not supported>,<not supported>,1323453,193866,59081,12070,2059798,596116496,1475582,60694915,499803,<not supported>,<not supported>,0,151
gemm_main_O3_mllvm_polly,0.251665,1162117838,2823105235,2752840,578712,84029713,231974,15224,92136417,237436,498117166,38706083,40361761,3233101,<not supported>,34259875,<not supported>,104127,<not supported>,<not supported>,2128006,147733,2308982,628995,3354687,625715560,511809,47220200,225635,<not supported>,<not supported>,0,4631
gemver_main_O3_mllvm_polly,0.173392,1489704366,714117103,9125485,8437652,80133309,77205,39575,100577710,120979,306624899,14077699,109961812,3680226,<not supported>,7350311,<not supported>,117790,<not supported>,<not supported>,8811306,6394262,1981934,1922620,8268,271955918,459451,73914637,399055,<not supported>,<not supported>,241,34422
gesummv_main_O3_mllvm_polly,0.088552,1807668825,874784072,9627394,8966398,106291912,102253,70785,130681810,108837,502692836,11302204,134967154,5962185,<not supported>,6559806,<not supported>,196875,<not supported>,<not supported>,5772034,3693592,4772896,3071155,19598,408201766,880361,118863378,778807,<not supported>,<not supported>,27,88040
mvt_main_O3_mllvm_polly,0.105949,1230052105,627819202,6650774,6180170,78730334,54459,39545,78468602,55679,280280359,10514484,84690992,4300480,<not supported>,2186181,<not supported>,160471,<not supported>,<not supported>,6846243,4334097,1552482,1525684,1016555,278063739,1865873,98763075,432563,<not supported>,<not supported>,127,36379
