Program,Runtime(s),cpu-cycles,instructions,cache-references,cache-misses,branch-instructions,branch-misses,page-faults,branch-loads,branch-load-misses,L1-dcache-loads,L1-dcache-load-misses,L1-dcache-stores,L1-dcache-store-misses,L1-dcache-prefetches,L1-dcache-prefetch-misses,L1-icache-loads,L1-icache-load-misses,L1-icache-prefetches,L1-icache-prefetch-misses,LLC-loads,LLC-load-misses,LLC-stores,LLC-store-misses,LLC-prefetch-misses,dTLB-loads,dTLB-load-misses,dTLB-stores,dTLB-store-misses,dTLB-prefetches,dTLB-prefetch-misses,iTLB-loads,iTLB-load-misses
correlation_main_mlir,6.719634,18941790282,8056951246,178512160,795445,276136566,600132,12329,279586480,592508,2049071216,1171211482,779353313,1707709,<not supported>,59833827,<not supported>,1224336,<not supported>,<not supported>,177039436,1215317,607479,14629,1866,2037177948,753578393,848478009,525510,<not supported>,<not supported>,0,11204
covariance_main_mlir,6.749560,19003853866,7752281570,181625596,776330,270540640,568831,12326,274957014,565049,2056176533,1173215019,785830176,1628555,<not supported>,63724888,<not supported>,910068,<not supported>,<not supported>,177655335,1126760,601341,13111,1985,2227280382,746498866,839556041,584457,<not supported>,<not supported>,0,11752
2mm_main_mlir,17.327133,48590249119,39633917687,2177446204,1723022,1134987005,2358180,18661,1143377104,2365320,9523035749,2229691430,3312983763,6124982,<not supported>,27194649,<not supported>,2721395,<not supported>,<not supported>,2168353192,980981,691571,65785,2779052,9535579151,2168919889,3293260376,134456,<not supported>,<not supported>,87,30560
3mm_main_mlir,25.997091,72829533715,57777693773,3264927846,2113862,1696539993,3509118,22760,1703990424,3521106,13861451409,3342097480,4955544989,7045442,<not supported>,37523201,<not supported>,4470673,<not supported>,<not supported>,3251038804,1531013,1052507,226325,1225108,13887459027,3250906128,4933671056,302295,<not supported>,<not supported>,551,58942
atax_main_mlir,0.143606,858685182,1170797758,3314905,2734889,109245234,75539,39688,104807961,72929,387472351,12315706,161383387,6568338,<not supported>,6502846,<not supported>,976663,<not supported>,<not supported>,1950870,1549725,1788244,1742529,1894884,498951396,392930,195054645,414518,<not supported>,<not supported>,0,27749
bicg_main_mlir,0.053137,636796645,769194780,2526376,2302777,41315085,36850,39695,54536811,53191,111193798,6404820,82697778,4918230,<not supported>,144546,<not supported>,832525,<not supported>,<not supported>,1740538,1329308,2033668,1976891,4046645,288413361,432561,125895140,490721,<not supported>,<not supported>,0,31237
cholesky_main_mlir,0.329444,1031321267,2582046435,2669462,1303434,97784051,404680,10465,99897179,374939,702681750,22542052,148119403,332850,<not supported>,23301280,<not supported>,52058,<not supported>,<not supported>,4982603,460394,3139,432,129572,797618579,788783,163054626,705,<not supported>,<not supported>,0,128
doitgen_main_mlir,0.951505,2797761002,7236253001,2745929,1202233,185991052,225818,16643,186472188,197725,1332368352,264796277,474368307,3495403,<not supported>,4302987,<not supported>,1477432,<not supported>,<not supported>,3205488,1254361,329036,82929,259631,1392854718,74325,483221567,31495,<not supported>,<not supported>,0,7405
gemm_main_mlir,7.792823,24276290234,20412485912,1089893343,1344979,575424755,1192390,14563,582236396,1220897,4911634802,1118878211,1673056662,3865125,<not supported>,15008161,<not supported>,1779267,<not supported>,<not supported>,1085317227,1067055,160318,16473,492181,4917285144,1087988676,1652192697,44897,<not supported>,<not supported>,313,13358
gemver_main_mlir,0.632249,2242514283,2540512855,30244848,6948661,332616652,1213115,39729,343844068,1490803,1168569411,41483670,458329414,6360846,<not supported>,9408775,<not supported>,312095,<not supported>,<not supported>,20538317,4555153,1666889,1637848,2782665,1190851949,18302077,439013810,445999,<not supported>,<not supported>,12,27672
gesummv_main_mlir,0.057744,964793661,617225558,6192551,5340158,77463388,182179,70941,89437965,370787,141046173,11357491,150939328,5210786,<not supported>,11261506,<not supported>,145346,<not supported>,<not supported>,4010579,2291721,4815230,4546443,5406455,312838894,936475,158600272,814324,<not supported>,<not supported>,27,73314
mvt_main_mlir,0.324579,1430432708,1058795655,21057747,4671773,110409724,1091101,39697,113600535,1090247,450312057,42821912,111021230,1876477,<not supported>,6939746,<not supported>,121942,<not supported>,<not supported>,27952227,3128871,1953483,1912941,2502666,434302283,19304399,173575948,1025201,<not supported>,<not supported>,12,35365
symm_main_mlir,0.000000,84765439,62083908,1018223,1033085,13370260,20886,14559,17133956,22290,21109652,2015331,28338024,1718227,<not supported>,132154,<not supported>,499636,<not supported>,<not supported>,1086370,823496,22927,26000,26765,<not counted>,<not counted>,<not counted>,<not counted>,<not supported>,<not supported>,<not counted>,<not counted>
syr2k_main_mlir,6.491577,18286966748,48522832781,15886444,1106661,2283610251,34676969,14560,2291626130,34739091,15443780490,381852588,4517359302,4479562,<not supported>,358348354,<not supported>,1611145,<not supported>,<not supported>,15421869,1243496,249465,13006,1136255,15404556836,618905,4579248480,11904,<not supported>,<not supported>,0,12582
syrk_main_mlir,5.171307,14603638904,32341788678,7702546,956151,2281235330,34655687,12513,2283253107,34643009,12172642158,146986917,3438312435,3369464,<not supported>,138057311,<not supported>,1562695,<not supported>,<not supported>,8261536,1296404,132872,3451,761059,12246872521,103693,3467731223,6202,<not supported>,<not supported>,25986,10889
trisolv_main_mlir,0.016469,595661562,338682974,3341089,3136996,40054012,31972,39680,43786919,33273,56541394,4940985,72162165,2636490,<not supported>,3199479,<not supported>,640115,<not supported>,<not supported>,1931754,1110437,1634383,1594275,4319918,206186540,1004794,67799695,907513,<not supported>,<not supported>,952,40645
trmm_main_mlir,1.273749,3707027323,10663697683,4167693,1033307,285654180,838027,12511,289193477,706781,2356181659,71057769,832226193,1586442,<not supported>,67846819,<not supported>,862595,<not supported>,<not supported>,4849321,1218425,34456,2129,168502,2403105209,1802166,854293182,2387,<not supported>,<not supported>,0,404
durbin_main_mlir,0.555150,2376479220,871740028,45960219,7458315,102597721,109949,70949,121346441,372064,275744581,65369755,182292901,19848364,<not supported>,2543607,<not supported>,207166,<not supported>,<not supported>,31295132,490472,12925193,6357673,7641,224671394,27373556,138923643,10030618,<not supported>,<not supported>,26,70994
dynprog_main_mlir,1.319598,3797331159,6558926011,4649708,980159,459565385,1790364,8517,462678514,1807613,1704791081,38548790,771024687,25747737,<not supported>,28706239,<not supported>,229748,<not supported>,<not supported>,3353075,49706,1163105,896,13736,1761345065,3051,787886982,964,<not supported>,<not supported>,0,1092
gramschmidt_main_mlir,2.356559,6693095054,4406406849,271402760,1043588,361749670,320964,9952,365245903,295097,1461486519,266939254,505326003,66341026,<not supported>,4077150,<not supported>,364509,<not supported>,<not supported>,271339082,777644,371195,40113,1608,1479758278,281669623,498876823,1583370,<not supported>,<not supported>,0,4005
lu_main_mlir,2.459237,6941996026,16170431630,4879944,1217357,1612199055,551935,10464,1609506680,546051,5719775648,48347379,1967546508,44290542,<not supported>,46502185,<not supported>,354767,<not supported>,<not supported>,4043415,352045,26698,2353,3417,5821877280,994615,2035611628,21880,<not supported>,<not supported>,0,4640
ludcmp_main_mlir,2.167861,6205919724,4855713283,32352977,975509,200603988,787224,10475,199928333,731360,1373933738,351406978,308681045,1046201,<not supported>,42080646,<not supported>,216242,<not supported>,<not supported>,30833818,595353,16200,1792,128690,1449292237,211227050,299006353,35964,<not supported>,<not supported>,0,686
floyd-warshall_main_mlir,5.323661,14784646465,35361039129,12949284,978645,2254275333,11780491,10464,2256188991,11818213,9871628577,236798334,3390265960,126290500,<not supported>,167731829,<not supported>,486874,<not supported>,<not supported>,13511796,570656,28305,2948,132869,10019767635,78191,3433236575,4943,<not supported>,<not supported>,0,1722
reg_detect_main_mlir,0.245572,797527635,1621277198,797332,1054494,186601415,1269711,8420,187483227,1293568,438818030,4412112,233884162,916998,<not supported>,2265441,<not supported>,118738,<not supported>,<not supported>,671707,69306,518,12,753,576081818,4060,294396384,197,<not supported>,<not supported>,0,3628
adi_main_mlir,2.123182,6135201248,11473334223,4688307,1570297,498914780,440128,14561,542434372,440559,2721673390,118370144,972917125,46850892,<not supported>,101244381,<not supported>,1106256,<not supported>,<not supported>,5443642,2056153,38744,14940,18062800,2443694802,1213002,925059886,40655,<not supported>,<not supported>,23745,2264
fdtd-2d_main_mlir,1.035160,3083762774,7513839066,2039746,941819,654307052,200907,14277,651761216,205459,2565512454,56623697,824453142,23929790,<not supported>,45267956,<not supported>,324936,<not supported>,<not supported>,1811258,861382,19388,10885,6887293,2573646170,735335,866323464,30907,<not supported>,<not supported>,0,1990
