Program,Runtime(s)_mean,Runtime(s)_std,Runtime(s)_max,Runtime(s)_min,Runtime(s)_median,cpu-cycles_mean,cpu-cycles_std,cpu-cycles_max,cpu-cycles_min,cpu-cycles_median,instructions_mean,instructions_std,instructions_max,instructions_min,instructions_median,cache-references_mean,cache-references_std,cache-references_max,cache-references_min,cache-references_median,cache-misses_mean,cache-misses_std,cache-misses_max,cache-misses_min,cache-misses_median,branch-instructions_mean,branch-instructions_std,branch-instructions_max,branch-instructions_min,branch-instructions_median,branch-misses_mean,branch-misses_std,branch-misses_max,branch-misses_min,branch-misses_median,page-faults_mean,page-faults_std,page-faults_max,page-faults_min,page-faults_median,branch-loads_mean,branch-loads_std,branch-loads_max,branch-loads_min,branch-loads_median
2mm_main_pluto,10.280516760000001,0.6719211795387895,10.657463,8.256219,10.595115,29809251595.78,88131785.85848421,30033532204,29709211112,29764718801.0,61900684542.7,116095872.47147469,62202964878,61650778176,61903237448.0,18678415.84,1697997.777691874,25105471,17350919,18022378.5,1148005.5,119739.46538865632,1383129,816419,1096234.5,100800347.58,3321604.9562394684,108986662,98232259,99056377.5,1452453.0,34251.88310687969,1532985,1386169,1451642.5,18659.14,1.6289473250405704,18661,18655,18659.5,108009659.64,2719127.6804454233,119930789,103573965,107529370.0
3mm_main_pluto,15.306606799999999,1.114376086343184,16.075789,12.495319,16.001154,44927294874.92,73716698.43765447,45075697276,44831156250,44895523196.5,91155194791.84,169709106.73190528,91576470369,90883506252,91182638801.0,29551981.78,2734145.8746585455,35298104,26534798,27930205.0,1348061.92,316585.10834012413,2338782,996188,1229420.5,143874309.58,7254134.836415677,159758826,137707524,139420803.0,2157059.08,51517.12883638308,2332962,2042489,2156311.5,22757.04,1.883981888209992,22760,22753,22757.0,152206291.8,7697486.69266399,169301804,143787631,147658638.0
adi_main_pluto,3.29540304,0.1371922118581407,3.390605,2.616872,3.3356684999999997,9502062892.54,48218111.406324685,9666686478,9430196019,9492587716.5,18680342148.42,100368435.9332772,18858521380,18445048608,18713717183.0,159646195.16,1558215.3712628458,162338270,155723665,160021313.5,10007758.86,797650.2493462426,11339380,7804836,10104429.0,863639869.88,4546203.11434144,873867438,854326717,863501150.5,5392436.32,95284.57096710529,5732467,5199492,5365684.5,14561.12,1.2394863979134667,14563,14559,14561.0,870399805.08,5600085.460725774,881237255,857914786,870066004.0
atax_main_pluto,0.15387432,0.00458568501299068,0.157133,0.133312,0.1550085,921163066.2,21886538.995283954,1012349410,883193497,918064137.0,1228098572.78,75752920.00705552,1401350017,791417537,1226308192.5,8100980.84,855194.0237798135,8731887,5291752,8382381.5,6760910.9,810863.017442634,7379708,4024840,7048518.0,46784299.7,5692873.306625741,70075535,42877898,44675410.5,91029.02,29872.58200785326,272232,74567,80306.0,39687.98,1.0783585409575744,39690,39685,39688.0,56362925.38,9662033.417125983,78754236,46805100,52573393.0
bicg_main_pluto,0.15610304,0.004108782599182744,0.159634,0.137166,0.157088,932654160.74,26416278.085043456,1026638931,890113834,926266177.0,1226896372.14,74558343.09314576,1321601682,764589768,1229118971.5,7609325.02,739792.4070778094,8356558,5541290,7892009.5,6552668.22,763446.9931769393,7352879,4621260,6931613.0,49217017.38,7414387.515402079,67728701,41694485,45679637.0,89638.9,31447.46108323583,267234,68060,80120.5,39696.4,1.1428571428567413,39698,39694,39696.0,58893104.4,10061420.912593324,79677588,46357978,56026478.0
cholesky_main_pluto,0.58879538,0.025144838187288025,0.596699,0.466469,0.5946805,1790046989.84,11505615.312654119,1820687786,1768476918,1788477999.5,5438053613.06,41672020.13015666,5527526891,5358008637,5421713303.5,2392140.4,124107.13516382298,2688313,2168970,2359152.0,1068780.34,105859.6136766992,1328460,917470,1048687.0,355713067.58,2234518.562363004,360517766,348574915,355339485.5,441015.82,14091.484765109253,481258,418211,438281.5,10465.2,1.7023393268302656,10468,10461,10465.0,355944979.98,2007494.5924114927,358346190,344563153,356350160.0
correlation_main_pluto,1.5933059600000001,0.09172334724571242,1.678038,1.261851,1.6054344999999999,4671814743.9,86858611.09941313,4824736741,4600834216,4622409285.0,13423154429.48,45515202.16089574,13546829559,13227138013,13426295260.0,5381616.56,140870.45333577562,6113379,5272117,5329825.0,764510.9,112827.48016226056,1122931,393315,735603.0,162140673.34,1606297.760949995,171076978,161021704,161579781.0,921359.06,201669.71570330896,1377768,742952,821587.5,12325.98,1.463710688487116,12329,12324,12326.0,166573831.66,1244193.2334054306,172097353,164432656,166467330.5
covariance_main_pluto,1.56567376,0.09560062818821868,1.62088,1.23763,1.5873875000000002,4593936986.16,38325784.334224634,4673520510,4552589871,4574357322.0,13309105117.24,46509602.51410738,13350448647,13027567636,13315346129.5,5491408.4,132147.33243433342,6039001,5323130,5438149.0,763203.6,115118.27583429674,991572,252287,733338.5,159899170.26,1752070.0903972476,169874604,157102235,159581234.5,1049644.64,165808.01914308447,1412618,841168,987419.5,12324.04,1.7256764423476052,12327,12321,12324.0,164146368.74,2066558.4343951426,176749453,161969248,163928639.0
doitgen_main_pluto,2.5857867800000003,0.12238983049778748,2.632365,2.056282,2.6240595,7487156306.22,12060631.221756322,7547781429,7463358087,7487376811.0,13418971895.9,17483103.055571705,13487316719,13392846150,13416127012.0,9746945.06,628575.5297722513,11540282,8151821,9684735.5,1196700.0,192398.14507230915,1688704,479141,1215962.5,21799516.6,6194134.758378537,51762442,18121386,19243595.5,57797.7,32494.59481284573,218557,45262,49383.5,16642.6,1.6413036132963703,16645,16639,16643.0,23176199.74,2912967.748041223,42700786,19561179,22877014.0
durbin_main_pluto,0.53574776,0.017837613916298855,0.545241,0.44723,0.5392125,2270896141.64,43696022.8162776,2366612181,2185816732,2267295145.5,1144437781.82,88292016.5251509,1321962628,1013129475,1120142913.5,46030145.7,1356252.6678256425,51110558,44041402,45971699.0,7168735.08,325218.2373240417,7888262,6195361,7139167.5,106527711.98,13723217.228769585,129844586,86984859,111108958.5,202705.72,79062.30843856183,351819,93065,173772.5,70947.32,1.9840177747705414,70950,70942,70948.0,105598193.42,16515968.508020554,146640044,88755841,94085639.5
