Program,Runtime(s),cpu-cycles,instructions,cache-references,cache-misses,branch-instructions,branch-misses,page-faults,branch-loads,branch-load-misses,L1-dcache-loads,L1-dcache-load-misses,L1-dcache-stores,L1-dcache-store-misses,L1-dcache-prefetches,L1-dcache-prefetch-misses,L1-icache-loads,L1-icache-load-misses,L1-icache-prefetches,L1-icache-prefetch-misses,LLC-loads,LLC-load-misses,LLC-stores,LLC-store-misses,LLC-prefetch-misses,dTLB-loads,dTLB-load-misses,dTLB-stores,dTLB-store-misses,dTLB-prefetches,dTLB-prefetch-misses,iTLB-loads,iTLB-load-misses
correlation_main_pluto,1.312987,4581276244,13346590520,5812074,167379,161767129,807688,12173,168100238,803731,6434452150,11164322,618038282,3208580,<not supported>,7992567,<not supported>,134034,<not supported>,<not supported>,5679438,290456,1897997,520618,221,6317257412,1252744,607932573,3143,<not supported>,<not supported>,4891,4630
covariance_main_pluto,1.507435,4473861434,13224800402,5815954,310098,159894064,677447,12172,166247832,660175,6354903930,11175927,620903242,2267540,<not supported>,8993595,<not supported>,128282,<not supported>,<not supported>,6321619,1109994,462205,906,381,6619354392,848478,618918516,2619,<not supported>,<not supported>,91,665
2mm_main_pluto,8.303970,29770922824,61824685123,17588321,648911,99678473,1375324,18508,111979278,1372286,27147139643,1486167998,2230121430,952433841,<not supported>,56378368,<not supported>,1272573,<not supported>,<not supported>,15942394,490048,2642988,1712248,3978932,27176023374,2027778,2246170043,260056,<not supported>,<not supported>,92546,41579
3mm_main_pluto,12.483324,44974829867,90908605167,26885039,941206,142682328,2135019,22605,148901758,2134521,39057020412,2262715258,3338519781,1448029654,<not supported>,93992100,<not supported>,1819604,<not supported>,<not supported>,24934547,336868,3440070,2680895,5218508,39094513405,3451659,3371129437,402736,<not supported>,<not supported>,7100,29676
atax_main_pluto,0.181342,1352564801,1279007310,7105318,6707658,64880412,85031,39537,68667561,86811,866797107,9393348,125252672,2419915,<not supported>,4205481,<not supported>,138181,<not supported>,<not supported>,5378250,3615584,3740339,3866934,1089,418816083,1445399,137453857,409993,<not supported>,<not supported>,29,29795
bicg_main_pluto,0.160640,1277102970,1443672360,5614565,4762309,65345482,85535,39543,68031636,84601,800233306,10610508,149969086,3405409,<not supported>,2166456,<not supported>,146456,<not supported>,<not supported>,2940021,2409147,4231143,3935891,1200,486194174,1196083,145017868,392428,<not supported>,<not supported>,110,28570
cholesky_main_pluto,0.593913,1837247770,5568451710,2193991,842246,358448278,419676,10313,343789156,390075,2158025307,23966691,377834189,363686,<not supported>,23848854,<not supported>,104086,<not supported>,<not supported>,3251140,372148,2601,729,175223,2439489213,666219,407348839,701,<not supported>,<not supported>,302,1201
doitgen_main_pluto,2.686323,7678900219,13487958248,10097249,1023845,45415141,130335,16491,26247984,84072,5021667202,552942928,309514819,266740707,<not supported>,3281475,<not supported>,724695354,<not supported>,<not supported>,4484171,221317,30844,4608,1953463,4980449965,1202387,340079741,237937,<not supported>,<not supported>,9430,6555
gemm_main_pluto,5.208026,14817366007,31668122989,9639162,544771,59707710,709051,14407,64405496,708986,14217945039,728055977,1128083027,466971627,<not supported>,28534301,<not supported>,560260,<not supported>,<not supported>,8647875,118609,1952223,770777,3418565,14326781217,2388159,1152606667,106824,<not supported>,<not supported>,2794,8386
gemver_main_pluto,0.263607,1671449745,1998969788,9092410,6495567,111048940,711506,39574,133841267,718253,1142638873,8772970,143575676,4263717,<not supported>,3338936,<not supported>,141691,<not supported>,<not supported>,5424415,3806469,4002713,3818054,6778,905564173,1051595,198615215,458475,<not supported>,<not supported>,248,27455
