Program,Runtime(s)_mean,Runtime(s)_std,Runtime(s)_max,Runtime(s)_min,Runtime(s)_median,cpu-cycles_mean,cpu-cycles_std,cpu-cycles_max,cpu-cycles_min,cpu-cycles_median,instructions_mean,instructions_std,instructions_max,instructions_min,instructions_median,cache-references_mean,cache-references_std,cache-references_max,cache-references_min,cache-references_median,cache-misses_mean,cache-misses_std,cache-misses_max,cache-misses_min,cache-misses_median,branch-instructions_mean,branch-instructions_std,branch-instructions_max,branch-instructions_min,branch-instructions_median,branch-misses_mean,branch-misses_std,branch-misses_max,branch-misses_min,branch-misses_median,page-faults_mean,page-faults_std,page-faults_max,page-faults_min,page-faults_median,branch-loads_mean,branch-loads_std,branch-loads_max,branch-loads_min,branch-loads_median
2mm_main_polly,16.633565840000003,1.266909593275706,17.424251,13.548154,17.4156595,48823162843.76,29976529.8958111,48892929420,48719709897,48822758708.5,14101345029.2,12125897.846850064,14142725335,14078548226,14099004105.0,2171050325.24,1241101.0793994896,2172742296,2166535870,2171447744.0,1527410.62,224702.27778469046,2339522,1035891,1488325.0,1105703122.28,1980100.5923615324,1114354334,1102638011,1105125735.5,2249557.16,10506.194919577852,2287742,2231190,2250073.0,18658.9,1.854393569392621,18661,18655,18659.0,1113880118.7,3229770.1942009237,1125441349,1107863265,1113390176.5
3mm_main_polly,24.850770240000003,2.0524550883939927,26.181729,20.340759,26.1608575,73225717622.7,67229361.44918446,73314412001,72848342488,73240051343.0,19515422626.1,23623823.089957654,19574413701,19464130389,19505371296.5,3252275353.2,5733975.227776717,3258825309,3234940642,3253263326.5,1955471.16,197137.19032904733,2765777,1714391,1959500.0,1657993871.78,6022475.926042835,1665371195,1648171793,1662421624.0,3375862.96,22245.96581080515,3409824,3325011,3387234.0,22757.36,1.914072482794202,22761,22753,22758.0,1663247883.46,6032708.43408169,1677645250,1653969495,1659844472.0
adi_main_polly,3.86476498,0.19189397467059024,4.002598,3.019854,3.9208875,11134623575.9,73516492.6983687,11386262199,10978494690,11126182633.5,3212920959.0,16497659.865340289,3243554086,3183018012,3215241652.5,285208778.0,4875180.510607408,299422676,276582281,284488335.0,16956574.6,685570.8341916876,18488992,15815031,16856721.0,240659006.16,2142838.0160500403,243561605,236638223,241188957.5,2168309.2,79969.62089367157,2439554,2001811,2165606.0,14561.78,1.2337101832787605,14564,14559,14562.0,246970001.12,3072981.2437176835,254383615,242095682,246370633.5
atax_main_polly,0.0749181,0.0016855961126859673,0.077415,0.066822,0.0750545,698781812.48,24614748.165072847,765992589,644809309,695812220.5,411951159.44,26237624.03444072,476572979,365825099,409483769.0,8348226.18,453443.5528906204,9134732,5534029,8399053.0,5832251.44,273104.405167706,6047001,4100083,5864459.5,48244905.94,2451341.706006953,64368282,46405675,48132967.0,838180.94,86390.58449509696,922881,273792,848829.5,39688.7,1.3131983079170197,39690,39686,39689.0,51669963.66,1287988.7209344462,54493087,48129931,51764375.5
bicg_main_polly,0.1081938,0.0020297884880258943,0.112979,0.097379,0.1082195,798972314.52,26846523.551920112,860639663,744216817,798375056.5,467954456.36,35216506.39816956,540602397,404782160,477360350.0,6785417.76,533440.5295699415,9672675,6323160,6745420.5,6288318.68,275439.7312064458,7024846,5748487,6306707.5,53270829.0,1631725.6216192136,59442793,50795630,53053322.0,160047.96,230885.94217624125,1095377,56642,59175.0,39696.66,1.2874591334904966,39699,39694,39697.0,57480355.12,1302119.6026306977,61348958,53193886,57561226.5
cholesky_main_polly,0.20167532000000002,0.008335272882033269,0.204414,0.158791,0.20324399999999998,692396148.12,12410948.034423798,730578813,661063855,689358314.5,1117528234.06,23858536.546295334,1201413581,1040275525,1112669666.5,6244924.74,508795.8629495769,6772255,3872598,6342790.5,1079961.16,143123.48377856327,1385811,619825,1055600.0,92823915.28,2454930.2053989046,95758506,77091234,92973232.0,352971.2,20747.645707601703,415598,257738,349163.5,10465.4,1.2616801237611552,10468,10462,10465.0,94068703.92,2564142.733559893,95592901,81437356,94701964.5
correlation_main_polly,1.19087578,0.052277653603986174,1.208115,0.936962,1.2007505,3492661008.72,15891275.750618065,3584652086,3460494886,3490762608.0,3915175953.08,14985363.157075886,3996599824,3865344826,3915222085.0,7484468.86,128073.02421442616,7979977,7275670,7444824.5,757017.96,209140.0264271704,1421820,298755,740583.5,311056236.16,1161284.5133734408,314513900,307252642,310745478.0,560678.66,12344.973468714505,592128,539040,553494.0,12326.62,1.4269991347618067,12330,12325,12326.5,314247989.02,1058766.3938204157,316146407,310187873,314442850.0
covariance_main_polly,1.1722714,0.061289731600266045,1.195985,0.927901,1.189088,3460732639.94,9422959.074901285,3513761394,3449450579,3459215934.5,3879192346.54,9024459.735070074,3925277064,3854707656,3879716469.5,7391200.72,107095.7929143849,7943068,7284134,7352647.0,773217.4,99672.41569281252,1162831,645695,732373.0,308398270.34,875319.7434663828,313183116,306474942,308298426.5,550727.26,9221.161662198954,567803,533325,547746.0,12324.34,1.546688364849046,12327,12322,12324.0,311627517.24,709428.6922000261,313043062,309930633,311711368.0
doitgen_main_polly,0.24045178,0.007325616054862911,0.24521,0.190729,0.2407375,835914894.68,17777870.062833026,870166296,757163216,834994661.5,1847047004.06,102548741.33179939,2115772074,1663043335,1814352699.5,4370869.38,609641.2398327495,4995276,2307345,4566250.0,1818964.64,163500.49006988408,2194798,1366915,1846680.0,158669594.78,4328975.767800083,168382391,149670675,158171514.0,291148.56,15332.550961471552,326885,269134,289016.5,16641.78,1.418392306342918,16644,16639,16642.0,166053325.3,3797975.064508002,170785006,153245486,167303424.0
durbin_main_polly,0.4567499,0.014422561363915851,0.463977,0.357671,0.4583405,2056572962.64,43028987.66676841,2132057740,1903920371,2059673489.5,519736551.74,96397564.11755441,755598886,432190043,477835309.0,41853765.62,2677671.4982791007,45534924,37698440,42153870.0,7116602.68,370100.35289912764,7686994,6117310,7119648.5,88874371.82,14655050.2663723,114579846,57382911,89588031.0,217364.68,106595.47062771706,410095,94673,174505.0,70947.56,1.618263115257744,70950,70943,70947.5,99036747.38,18024633.71781351,130468130,63434516,100343989.5
