Program,Runtime(s),cpu-cycles,instructions,cache-references,cache-misses,branch-instructions,branch-misses,page-faults,branch-loads,branch-load-misses,L1-dcache-loads,L1-dcache-load-misses,L1-dcache-stores,L1-dcache-store-misses,L1-dcache-prefetches,L1-dcache-prefetch-misses,L1-icache-loads,L1-icache-load-misses,L1-icache-prefetches,L1-icache-prefetch-misses,LLC-loads,LLC-load-misses,LLC-stores,LLC-store-misses,LLC-prefetch-misses,dTLB-loads,dTLB-load-misses,dTLB-stores,dTLB-store-misses,dTLB-prefetches,dTLB-prefetch-misses,iTLB-loads,iTLB-load-misses
correlation_main_polly,1.202798,3476843427,3892285757,7439092,832367,308100224,545808,12325,311226965,550343,1560974476,14822542,1014151559,4786907,<not supported>,6195723,<not supported>,152983,<not supported>,<not supported>,8645277,1346890,91589,12851,18104,1521668046,1019711,1068518898,23277,<not supported>,<not supported>,106,1525
covariance_main_polly,1.188450,3457587708,3877354936,7333988,729413,308078678,544487,12325,311559041,540109,1544396435,14473288,994892101,4638840,<not supported>,5942388,<not supported>,242028,<not supported>,<not supported>,8909373,1563654,2987858,49214,117,1596876671,873550,1060954349,25875,<not supported>,<not supported>,0,860
2mm_main_polly,17.416003,48828700854,14097732450,2171798222,1415015,1105320774,2246249,18661,1113904491,2257007,4327059255,2175485873,2186316738,6609567,<not supported>,2740630,<not supported>,2211160,<not supported>,<not supported>,2157895416,588164,2728795,56356,3230885,4344216436,2156305348,2180793229,238384,<not supported>,<not supported>,0,8296
3mm_main_polly,26.164223,73275386029,19505415180,3257458524,1728004,1649964155,3342081,22758,1657794115,3357589,6486241521,3266123898,3296537520,8203895,<not supported>,3252932,<not supported>,3575977,<not supported>,<not supported>,3240258615,1138316,4346183,266548,3618,6478037835,3244061146,3252036839,419176,<not supported>,<not supported>,62,17922
atax_main_polly,0.075027,707102675,465174899,7993304,5591649,48365956,880069,39690,52818724,851987,112831242,11752914,61474729,3650254,<not supported>,1699972,<not supported>,233320,<not supported>,<not supported>,4438246,2234507,1598156,1569879,2759811,119153786,1277653,39370023,510815,<not supported>,<not supported>,0,34943
bicg_main_polly,0.108108,860639663,426768653,6747338,6293877,52657230,233697,39697,57288082,734030,129485382,10846155,46378911,1864071,<not supported>,6016987,<not supported>,78126,<not supported>,<not supported>,7748287,5302774,1887934,1838778,7152,137463073,1766606,77357516,935423,<not supported>,<not supported>,0,44089
cholesky_main_polly,0.202976,710277250,1147037864,6341972,908999,93802486,390619,10463,93380732,318111,367438265,22786592,185281207,354321,<not supported>,23406063,<not supported>,53010,<not supported>,<not supported>,5805505,931432,1358702,240,148439,442136086,221826,224115248,644434,<not supported>,<not supported>,1137,1485
doitgen_main_polly,0.239936,824515187,1728743134,4995276,1939628,165414532,282610,16643,167985595,284330,594016137,32108282,49221992,1969268,<not supported>,7119943,<not supported>,46176,<not supported>,<not supported>,2717810,549586,5324782,164056,317200,763751735,195051,11577405,295,<not supported>,<not supported>,51,1157
gemm_main_polly,0.326294,1035822413,2496164502,4807827,497384,75395803,212015,15376,77087423,211656,435318507,34897094,38213147,2537910,<not supported>,38068617,<not supported>,51470,<not supported>,<not supported>,3264564,107401,78001,349,64805,452508073,563849,23084184,33207,<not supported>,<not supported>,0,128
gemver_main_polly,0.179827,1103700553,637672328,8704559,7469161,62485726,92760,39728,59931813,74579,153093751,10743131,106940424,4248529,<not supported>,4061323,<not supported>,138354,<not supported>,<not supported>,8454008,6305145,1658413,1630362,1170933,217697170,1424518,88962504,419909,<not supported>,<not supported>,139,26676
